"artist";"genre";"original_artist"
"Airbourne"                                                                ;"hard rock"                   ;"Airbourne"
"Rancid"                                                                   ;"punk"                        ;"Rancid"
"NOFX"                                                                     ;"punk"                        ;"NOFX"
"Led Zeppelin"                                                             ;"classic rock"                ;"Led Zeppelin"
"Motörhead"                                                                ;"heavy metal"                 ;"Motörhead"
"Nightwish"                                                                ;"symphonic metal"             ;"Nightwish"
"Ebri Knight"                                                              ;"celtic punk"                 ;"Ebri Knight"
"The Vaccines"                                                             ;"indie"                  ;"The Vaccines"
"Nový Svět"                                                                ;"neofolk"                     ;"Nový Svět"
"Norther"                                                                  ;"Melodic Death Metal"         ;"Norther"
"Dernière Volonté"                                                         ;"martial industrial"          ;"Dernière Volonté"
"Rome"                                                                     ;"neofolk"                     ;"Rome"
"Mark Knopfler"                                                            ;"rock"                        ;"Mark Knopfler"
"Ataraxia"                                                                 ;"neofolk"                     ;"Ataraxia"
"Brian Crain"                                                              ;"piano"                       ;"Brian Crain"
"Placebo"                                                                  ;"alternative rock"            ;"Placebo"
"Perturbator"                                                              ;"synthwave"                   ;"Perturbator"
"Joe Satriani"                                                             ;"guitar virtuoso"             ;"Joe Satriani"
"Project Pitchfork"                                                        ;"industrial"                  ;"Project Pitchfork"
"Karl Jenkins"                                                             ;"Classical"                   ;"Karl Jenkins"
"Sum 41"                                                                   ;"punk rock"                   ;"Sum 41"
"Ленинград"                                                                ;"ska"                         ;"Ленинград"
"Coldplay"                                                                 ;"rock"                        ;"Coldplay"
"Iron Maiden"                                                              ;"heavy metal"                 ;"Iron Maiden"
"Cultus Ferox"                                                             ;"medieval"                    ;"Cultus Ferox"
"Dropkick Murphys"                                                         ;"punk"                        ;"Dropkick Murphys"
"Platero y tú"                                                             ;"rock"                        ;"Platero y tú"
"Queensrÿche"                                                              ;"Progressive metal"           ;"Queensrÿche"
"Less Than Jake"                                                           ;"ska"                         ;"Less Than Jake"
"Wolfchant"                                                                ;"pagan metal"                 ;"Wolfchant"
"Crim"                                                                     ;"punk"                     ;"Crim"
"Sorrow Plagues"                                                           ;"atmospheric black metal"     ;"Sorrow Plagues"
"Sivert Høyem"                                                             ;"rock"                        ;"Sivert Høyem"
"Zbigniew Preisner"                                                        ;"Soundtrack"                  ;"Zbigniew Preisner"
"Moby"                                                                     ;"electronic"                  ;"Moby"
"Death in June"                                                            ;"neofolk"                     ;"Death in June"
"The World/Inferno Friendship Society"                                     ;"cabaret"                        ;"The World/Inferno Friendship Society"
"Noir Désir"                                                               ;"rock"                        ;"Noir Désir"
"Amaral"                                                                   ;"pop"                         ;"Amaral"
"The Spirit"                                                               ;"black metal"                 ;"The Spirit"
"Birdy"                                                                    ;"folk"                        ;"Birdy"
"Los Suaves"                                                               ;"rock"                        ;"Los Suaves"
"Aerosmith"                                                                ;"rock"                        ;"Aerosmith"
"Scorpions"                                                                ;"hard rock"                   ;"Scorpions"
"Chickenfoot"                                                              ;"hard rock"                   ;"Chickenfoot"
"Ludovico Einaudi"                                                         ;"piano"                       ;"Ludovico Einaudi"
"Mono Inc."                                                                ;"Gothic Rock"                 ;"Mono Inc."
"Maceo Parker"                                                             ;"funk"                        ;"Maceo Parker"
"Puissance"                                                                ;"martial industrial"          ;"Puissance"
"Dream Theater"                                                            ;"Progressive metal"           ;"Dream Theater"
"Therion"                                                                  ;"symphonic metal"             ;"Therion"
"Cradle of Filth"                                                          ;"black metal"                 ;"Cradle of Filth"
"Richie Kotzen & Greg Howe"                                                ;"Fusion"                      ;"Richie Kotzen & Greg Howe"
"Dark Tranquillity"                                                        ;"Melodic Death Metal"         ;"Dark Tranquillity"
"The Smashing Pumpkins"                                                    ;"alternative rock"            ;"The Smashing Pumpkins"
"Tremonti"                                                                 ;"alternative metal"           ;"Tremonti"
"Anathema"                                                                 ;"doom metal"                  ;"Anathema"
"The Offspring"                                                            ;"punk rock"                   ;"The Offspring"
"Jimi Hendrix"                                                             ;"classic rock"                ;"Jimi Hendrix"
"Cycle"                                                                    ;"electronic"                  ;"Cycle"
"Deine Lakaien"                                                            ;"darkwave"                    ;"Deine Lakaien"
"Bruce Springsteen"                                                        ;"rock"                        ;"Bruce Springsteen"
"Orange Goblin"                                                            ;"Stoner Rock"                 ;"Orange Goblin"
"Jeff Beck & The Big Town Playboys"                                        ;"blues"                       ;"Jeff Beck & The Big Town Playboys"
"E.S. Posthumus"                                                           ;"instrumental"                ;"E.S. Posthumus"
"Two Steps from Hell"                                                      ;"Soundtrack"                  ;"Two Steps from Hell"
"Muse"                                                                     ;"alternative rock"            ;"Muse"
"Morrissey"                                                                ;"indie"                       ;"Morrissey"
"Oasis"                                                                    ;"britpop"                     ;"Oasis"
"Children of Bodom"                                                        ;"Melodic Death Metal"         ;"Children of Bodom"
"Subway to Sally"                                                          ;"folk metal"                  ;"Subway to Sally"
"Shylmagoghnar"                                                            ;"atmospheric black metal"     ;"Shylmagoghnar"
"Pantera"                                                                  ;"Groove metal"                ;"Pantera"
"Depeche Mode"                                                             ;"electronic"                  ;"Depeche Mode"
"Loreena McKennitt"                                                        ;"celtic"                      ;"Loreena McKennitt"
"Phil Collins"                                                             ;"pop"                         ;"Phil Collins"
"Machine Head"                                                             ;"Nu metal"                ;"Machine Head"
"Avicii"                                                                   ;"House"                       ;"Avicii"
"Sons of Apollo"                                                           ;"Progressive metal"           ;"Sons of Apollo"
"José González"                                                            ;"acoustic"                    ;"José González"
"R.E.M."                                                                   ;"rock"                        ;"R.E.M."
"Ramones"                                                                  ;"punk"                        ;"Ramones"
"Pennywise"                                                                ;"punk"                        ;"Pennywise"
"Steve Vai"                                                                ;"guitar virtuoso"             ;"Steve Vai"
"Pixies"                                                                   ;"alternative"                 ;"Pixies"
"Seether"                                                                  ;"rock"                        ;"Seether"
"Vader"                                                                    ;"death metal"                 ;"Vader"
"Falconer"                                                                 ;"Power metal"                 ;"Falconer"
"Dance With The Dead"                                                      ;"synthwave"                   ;"Dance With The Dead"
"The Rolling Stones"                                                       ;"classic rock"                ;"The Rolling Stones"
"The Toy Dolls"                                                            ;"punk"                        ;"The Toy Dolls"
"Megadeth"                                                                 ;"thrash metal"                ;"Megadeth"
"Peter Heppner"                                                            ;"synthpop"                    ;"Peter Heppner"
"植松伸夫"                                                                 ;"Soundtrack"                  ;"Nobuo Uematsu"
"Wardruna"                                                                 ;"Nordic Folk"                        ;"Wardruna"
"The Real McKenzies"                                                       ;"celtic punk"                 ;"The Real McKenzies"
"Isidor"                                                                   ;"synthwave"                   ;"Isidor"
"Sláinte"                                                                  ;"folk"                        ;"Sláinte"
"Arch Enemy"                                                               ;"Melodic Death Metal"         ;"Arch Enemy"
"Qntal"                                                                    ;"medieval"                    ;"Qntal"
"The Who"                                                                  ;"classic rock"                ;"The Who"
"Cinderella"                                                               ;"glam rock"                   ;"Cinderella"
"Slayer"                                                                   ;"thrash metal"                ;"Slayer"
"Creedence Clearwater Revival"                                             ;"classic rock"                ;"Creedence Clearwater Revival"
"John Lindberg Trio"                                                       ;"rockabilly"                  ;"John Lindberg Trio"
"Jaded Sun"                                                                ;"hard rock"                   ;"Jaded Sun"
"Canned Heat & John Lee Hooker"                                            ;"blues"                       ;"Canned Heat & John Lee Hooker"
"E Nomine"                                                                 ;"electronic"                  ;"E Nomine"
